AA151009C00005500,20151008,5.45,5.45,5.45,5.45,0,10
AA151009C00006000,20151008,4.95,4.95,4.95,4.95,0,10
AA151009C00006500,20151008,3.6,3.6,3.6,3.6,0,2
AA151009C00007000,20151008,4.01,4.01,4.01,4.01,0,83
AA151009C00007500,20151008,2.6,2.6,2.6,2.6,0,2
AA151009C00008000,20151008,3,3,3,3,10,6
AA151009C00008500,20151008,2.6,2.6,2.6,2.6,0,11
AA151009C00009000,20151008,2.1,2.1,2.1,2.1,10,435
AA151009C00009500,20151008,1.6,1.6,1.6,1.6,215,3768
AA151009C00010000,20151008,1.08,1.08,1.08,1.08,267,7438
AA151009C00010500,20151008,0.7,0.7,0.7,0.7,1001,10484
AA151009C00011000,20151008,0.36,0.36,0.36,0.36,8153,3411
AA151009C00011500,20151008,0.24,0.24,0.24,0.24,2849,1864
AA151009C00012000,20151008,0.06,0.06,0.06,0.06,1411,1876
AA151009C00013000,20151008,0.04,0.04,0.04,0.04,62,26
AA151009P00002000,20151008,0.05,0.05,0.05,0.05,0,1
AA151009P00002500,20151008,0.05,0.05,0.05,0.05,0,1
AA151009P00005000,20151008,0.03,0.03,0.03,0.03,0,1
AA151009P00007000,20151008,0.01,0.01,0.01,0.01,0,17
AA151009P00007500,20151008,0.04,0.04,0.04,0.04,0,411
AA151009P00008000,20151008,0.01,0.01,0.01,0.01,100,254
AA151009P00008500,20151008,0.01,0.01,0.01,0.01,100,1584
AA151009P00009000,20151008,0.02,0.02,0.02,0.02,415,3193
AA151009P00009500,20151008,0.03,0.03,0.03,0.03,2489,4741
AA151009P00010000,20151008,0.08,0.08,0.08,0.08,4518,4473
AA151009P00010500,20151008,0.19,0.19,0.19,0.19,9885,7502
AA151009P00011000,20151008,0.38,0.38,0.38,0.38,4430,3317
AA151009P00011500,20151008,0.7,0.7,0.7,0.7,99,211
AA151009P00012000,20151008,1.02,1.02,1.02,1.02,50,98
AA151009P00012500,20151008,2.79,2.79,2.79,2.79,0,14
AA151009P00016000,20151008,6.1,6.1,6.1,6.1,0,1
AA151009P00016500,20151008,6.95,6.95,6.95,6.95,0,0
AA151009P00017000,20151008,7.55,7.55,7.55,7.55,0,0
AA151009P00018000,20151008,8.45,8.45,8.45,8.45,0,0
AA151016C00004000,20151008,5.65,5.65,5.65,5.65,0,0
AA151016C00004500,20151008,4.8,4.8,4.8,4.8,0,2
AA151016C00005000,20151008,5.4,5.4,5.4,5.4,0,134
AA151016C00006000,20151008,4.8,4.8,4.8,4.8,2,66
AA151016C00007000,20151008,3.95,3.95,3.95,3.95,3,119
AA151016C00008000,20151008,2.95,2.95,2.95,2.95,0,1174
AA151016C00008500,20151008,2.35,2.35,2.35,2.35,0,127
AA151016C00009000,20151008,2.03,2.03,2.03,2.03,92,3564
AA151016C00009500,20151008,1.57,1.57,1.57,1.57,224,2210
AA151016C00010000,20151008,1.11,1.11,1.11,1.11,1089,30557
AA151016C00010500,20151008,0.74,0.74,0.74,0.74,662,6124
AA151016C00011000,20151008,0.44,0.44,0.44,0.44,13081,38891
AA151016C00011500,20151008,0.24,0.24,0.24,0.24,2254,4439
AA151016C00012000,20151008,0.12,0.12,0.12,0.12,1419,20627
AA151016C00012500,20151008,0.07,0.07,0.07,0.07,391,125
AA151016C00013000,20151008,0.03,0.03,0.03,0.03,214,8910
AA151016C00014000,20151008,0.02,0.02,0.02,0.02,21,6150
AA151016C00014500,20151008,0.01,0.01,0.01,0.01,0,1
AA151016C00015000,20151008,0.01,0.01,0.01,0.01,33,10509
AA151016C00016000,20151008,0.01,0.01,0.01,0.01,0,2625
AA151016C00017000,20151008,0.01,0.01,0.01,0.01,0,1349
AA151016C00018000,20151008,0.01,0.01,0.01,0.01,0,878
AA151016C00019000,20151008,0.01,0.01,0.01,0.01,0,247
AA151016C00020000,20151008,0.01,0.01,0.01,0.01,0,239
AA151016C00021000,20151008,0.01,0.01,0.01,0.01,0,125
AA151016C00024000,20151008,0.01,0.01,0.01,0.01,0,32
AA151016P00004000,20151008,0.03,0.03,0.03,0.03,0,1
AA151016P00005000,20151008,0.01,0.01,0.01,0.01,0,116
AA151016P00006000,20151008,0.02,0.02,0.02,0.02,0,379
AA151016P00007000,20151008,0.03,0.03,0.03,0.03,0,815
AA151016P00007500,20151008,0.04,0.04,0.04,0.04,0,10
AA151016P00008000,20151008,0.02,0.02,0.02,0.02,101,5882
AA151016P00008500,20151008,0.03,0.03,0.03,0.03,0,2358
AA151016P00009000,20151008,0.04,0.04,0.04,0.04,254,19812
AA151016P00009500,20151008,0.07,0.07,0.07,0.07,308,3322
AA151016P00010000,20151008,0.13,0.13,0.13,0.13,5518,16328
AA151016P00010500,20151008,0.25,0.25,0.25,0.25,4016,4820
AA151016P00011000,20151008,0.43,0.43,0.43,0.43,2532,13546
AA151016P00011500,20151008,0.73,0.73,0.73,0.73,2565,765
AA151016P00012000,20151008,1.11,1.11,1.11,1.11,82,6413
AA151016P00013000,20151008,1.95,1.95,1.95,1.95,155,9244
AA151016P00014000,20151008,3.12,3.12,3.12,3.12,20,1343
AA151016P00015000,20151008,4,4,4,4,2,1193
AA151016P00016000,20151008,5.15,5.15,5.15,5.15,51,1671
AA151016P00017000,20151008,7.9,7.9,7.9,7.9,0,25
AA151016P00018000,20151008,8.3,8.3,8.3,8.3,0,3
AA151016P00019000,20151008,9.6,9.6,9.6,9.6,0,10
AA151016P00020000,20151008,11.9,11.9,11.9,11.9,0,0
AA151016P00022000,20151008,9.25,9.25,9.25,9.25,0,2400
AA151023C00007000,20151008,3.96,3.96,3.96,3.96,0,10
AA151023C00008000,20151008,2,2,2,2,0,41
AA151023C00008500,20151008,1.08,1.08,1.08,1.08,0,86
AA151023C00009000,20151008,1.87,1.87,1.87,1.87,10,287
AA151023C00009500,20151008,1.56,1.56,1.56,1.56,23,3668
AA151023C00010000,20151008,1.15,1.15,1.15,1.15,86,868
AA151023C00010500,20151008,0.58,0.58,0.58,0.58,1,1131
AA151023C00011000,20151008,0.49,0.49,0.49,0.49,274,721
AA151023C00011500,20151008,0.29,0.29,0.29,0.29,212,672
AA151023C00012000,20151008,0.15,0.15,0.15,0.15,35,492
AA151023C00012500,20151008,0.06,0.06,0.06,0.06,0,79
AA151023C00013500,20151008,0.04,0.04,0.04,0.04,0,80
AA151023P00005000,20151008,0.03,0.03,0.03,0.03,0,3
AA151023P00007000,20151008,0.05,0.05,0.05,0.05,0,22
AA151023P00007500,20151008,0.04,0.04,0.04,0.04,20,37
AA151023P00008000,20151008,0.02,0.02,0.02,0.02,0,154
AA151023P00008500,20151008,0.04,0.04,0.04,0.04,0,387
AA151023P00009000,20151008,0.05,0.05,0.05,0.05,0,735
AA151023P00009500,20151008,0.09,0.09,0.09,0.09,6,555
AA151023P00010000,20151008,0.17,0.17,0.17,0.17,156,442
AA151023P00010500,20151008,0.29,0.29,0.29,0.29,194,249
AA151023P00011000,20151008,0.5,0.5,0.5,0.5,140,90
